,name,team,fantasy_points,past_points,daily_points
0,Mila Holloway,Michigan,48,0.0,48.0
1,Kiyomi McMiller,Penn State,47,47.0,0.0
2,Berry Wallace,Illinois,43,0.0,43.0
3,Sayvia Sellers,Washington,41,41.0,0.0
4,Ava Heiden,Iowa,39,39.0,0.0
5,Kennedy Blair,Michigan State,39,0.0,39.0
6,Imani Lester,Rutgers,37,37.0,0.0
7,Grace VanSlooten,Michigan State,36,0.0,36.0
8,Saylor Poffenbarger,Maryland,35,35.0,0.0
9,Theryn Hallock,Michigan State,34,0.0,34.0
10,Shay Ciezki,Indiana,34,0.0,34.0
11,Gabriela Jaquez,UCLA,34,34.0,0.0
12,Makena Christian,Minnesota,33,0.0,33.0
13,Hannah Stuelke,Iowa,33,33.0,0.0
14,Zachara Perkins,Rutgers,32,32.0,0.0
15,Olivia Olson,Michigan,32,0.0,32.0
16,Gracie Merkle,Penn State,31,31.0,0.0
17,Claire Johnson,Nebraska,31,31.0,0.0
18,Kaylah Ivey,Rutgers,30,30.0,0.0
19,Gretchen Dolan,Illinois,30,0.0,30.0
20,Brooke Q. Daniels,Michigan,30,0.0,30.0
21,Mia Jacobs,Oregon,30,30.0,0.0
22,Te'Yala Delfosse,Michigan,29,0.0,29.0
23,Madison Layden-Zay,Purdue,28,28.0,0.0
24,Zania Socka-Nguemen,Indiana,28,0.0,28.0
25,Britt Prince,Nebraska,28,28.0,0.0
26,Oluchi Okananwa,Maryland,27,27.0,0.0
27,Rashunda Jones,Michigan State,27,0.0,27.0
28,Elisa Mevius,Oregon,27,27.0,0.0
29,Jazzy Davidson,USC,27,0.0,27.0
30,Kara Dunn,USC,27,0.0,27.0
31,Charlisse Leger-Walker,UCLA,27,27.0,0.0
32,Kiki Smith,Purdue,27,27.0,0.0
33,Jalyn Brown,Michigan State,26,0.0,26.0
34,Emma Shumate,Michigan State,26,0.0,26.0
35,Lauren Betts,UCLA,26,26.0,0.0
36,Avery Howell,Washington,26,26.0,0.0
37,Londynn Jones,USC,26,0.0,26.0
38,Katie Fiso,Oregon,26,26.0,0.0
39,Gianna Kneepkens,UCLA,26,26.0,0.0
40,Emily Fisher,Nebraska,26,26.0,0.0
41,Amy Terrian,Michigan State,25,0.0,25.0
42,Tara Daye,Purdue,25,25.0,0.0
43,Sophie Hart,Minnesota,25,0.0,25.0
44,Kennedy Smith,USC,24,0.0,24.0
45,Lana McCarthy,Purdue,24,24.0,0.0
46,Emely Rodriguez,Iowa,24,24.0,0.0
47,Callin Hake,Nebraska,24,24.0,0.0
48,Jessica Petrie,Nebraska,23,23.0,0.0
49,Viktoria Ranisavljevic,Penn State,23,23.0,0.0
50,Ari Long,Oregon,23,23.0,0.0
51,Hila Karsh,Purdue,23,23.0,0.0
52,Hannah Stines,Washington,22,22.0,0.0
53,Ashley Sofilkanich,Michigan,22,0.0,22.0
54,Angela Dugalić,UCLA,22,22.0,0.0
55,Finau Tonga,Minnesota,22,0.0,22.0
56,Isaline Alexander,Michigan State,22,0.0,22.0
57,Lenée Beaumont,Indiana,22,0.0,22.0
58,Kiki Rice,UCLA,22,22.0,0.0
59,Chazadi Wright,Iowa,21,21.0,0.0
60,Maddie Webber,Illinois,21,0.0,21.0
61,Tori McKinney,Minnesota,21,0.0,21.0
62,Sienna Harvey,Washington,21,21.0,0.0
63,Lauryn Swann,Rutgers,20,20.0,0.0
64,Kyndal Walker,Maryland,20,20.0,0.0
65,Sarah Rambus,Oregon,20,20.0,0.0
66,Nene Ndiaye,Rutgers,20,20.0,0.0
67,Nevaeh Caffey,Indiana,20,0.0,20.0
68,Dayana Mendes,USC,20,0.0,20.0
69,Amina Muhammad,Oregon,20,20.0,0.0
70,Destiny Jackson,Illinois,20,0.0,20.0
71,Ehis Etute,Oregon,20,20.0,0.0
72,Taylor Stremlow,Iowa,19,19.0,0.0
73,Amaya Battle,Minnesota,19,0.0,19.0
74,Sofia Bell,Oregon,19,19.0,0.0
75,Vitoria Santana,Penn State,19,19.0,0.0
76,Syla Swords,Michigan,18,0.0,18.0
77,Amiya Evans,Penn State,18,18.0,0.0
78,Mara Braun,Minnesota,17,0.0,17.0
79,Lea Bartelme,Maryland,17,17.0,0.0
80,Yarden Garzon,Maryland,17,17.0,0.0
81,Janae Walker,Rutgers,17,17.0,0.0
82,Olivia Anderson,Washington,17,17.0,0.0
83,Marya Boiko,Maryland,16,16.0,0.0
84,Taylor McCabe,Iowa,16,16.0,0.0
85,Malia Samuels,USC,16,0.0,16.0
86,Hailey Weaver,Nebraska,15,15.0,0.0
87,Grace Grocholski,Minnesota,15,0.0,15.0
88,Gerda Raulusaityte,USC,15,0.0,15.0
89,Edessa Noyan,Indiana,15,0.0,15.0
90,Petra Bozan,Nebraska,15,15.0,0.0
91,Yulia Grabovskaia,Washington,15,15.0,0.0
92,Logan Nissley,Nebraska,15,15.0,0.0
93,Saige Stahl,Purdue,15,15.0,0.0
94,Abbey Kimball,Michigan State,14,0.0,14.0
95,Shayla Smith,Penn State,14,14.0,0.0
96,Jasmine Brown-Hagger,Illinois,14,0.0,14.0
97,Kylie Feuerbach,Iowa,13,13.0,0.0
98,Cearah Parchment,Illinois,13,0.0,13.0
99,Brylee Glenn,Minnesota,13,0.0,13.0
100,Breanna Williams,Maryland,13,13.0,0.0
101,Kennedy Klick,Minnesota,13,0.0,13.0
102,Lety Vasconcelos,Illinois,13,0.0,13.0
103,Janiyah Williams,Oregon,13,13.0,0.0
104,Isimenme Ozzy-Momodu,Maryland,12,12.0,0.0
105,Amiah Hargrove,Nebraska,12,12.0,0.0
106,Mir McLean,Maryland,12,12.0,0.0
107,Marah Dykstra,Michigan State,12,0.0,12.0
108,Journey Houston,Iowa,11,11.0,0.0
109,Chloe Briggs,Washington,11,11.0,0.0
110,Valentyna Kadlecova,Indiana,11,0.0,11.0
111,Vivian Iwuchukwu,USC,11,0.0,11.0
112,Ava McKennie,Maryland,11,11.0,0.0
113,Teagan Brown,Washington,11,11.0,0.0
114,Amanda Muse,UCLA,11,11.0,0.0
115,Astera Tuhina,Oregon,11,11.0,0.0
116,Sara Barhoum,Oregon,11,11.0,0.0
117,Brynn McGaughy,Washington,11,11.0,0.0
118,Niamya Holloway,Minnesota,10,0.0,10.0
119,Phoenix Stotjin,Indiana,10,0.0,10.0
120,Shayla Gillmer,Washington,9,9.0,0.0
121,Laura Williams,USC,9,0.0,9.0
122,Ally VanTimmeren,Michigan,8,0.0,8.0
123,Jessica Fields,Michigan,8,0.0,8.0
124,Yakiya Milton,USC,8,0.0,8.0
125,McKenzie Mathurin,Michigan,8,0.0,8.0
126,Alyssa Crockett,Michigan,8,0.0,8.0
127,Nina Cain,Washington,8,8.0,0.0
128,Addi Mack,Maryland,8,8.0,0.0
129,Irene Noya Catoira,Illinois,8,0.0,8.0
130,Makylah Moore,Rutgers,8,8.0,0.0
131,Lena Bilic,UCLA,8,8.0,0.0
132,Addison Deal,Iowa,8,8.0,0.0
133,Filippa Tilliander,Oregon,7,7.0,0.0
134,Rachael Okokoh,Penn State,7,7.0,0.0
135,Devin Coppinger,Washington,6,6.0,0.0
136,Antonia Bates,Rutgers,6,6.0,0.0
137,Moriah Murray,Penn State,6,6.0,0.0
138,Avary Cain,Oregon,6,6.0,0.0
139,Anna Terrian,Michigan State,6,0.0,6.0
140,Ciara Byars,Michigan,6,0.0,6.0
141,Nyla McFadden,Penn State,6,6.0,0.0
142,Taylor Woodson,Minnesota,6,0.0,6.0
143,Kennadi Williams,Nebraska,6,6.0,0.0
144,Rian Forestier,USC,5,0.0,5.0
145,Shaelyn Steele,Penn State,5,5.0,0.0
146,Hayven Smith,Illinois,5,0.0,5.0
147,Jerni Kiaku,Indiana,5,0.0,5.0
148,Kendall Puryear,Purdue,5,5.0,0.0
149,Layla Hays,Iowa,5,5.0,0.0
150,Yacine N'Diaye,Rutgers,4,4.0,0.0
151,Maya Makalusky,Indiana,4,0.0,4.0
152,Faith Wiseman,Indiana,4,0.0,4.0
153,Deja Young,Rutgers,4,4.0,0.0
154,Nya Smith,Purdue,4,4.0,0.0
155,Brooklyn Shamblin,USC,3,0.0,3.0
156,Tracey Bershers,Minnesota,3,0.0,3.0
157,Avery Gordon,Purdue,3,3.0,0.0
158,Chloe Spreen,Indiana,3,0.0,3.0
159,Precious Wheeler,Rutgers,3,3.0,0.0
160,Kennedy Brandt,Rutgers,3,3.0,0.0
161,Rainey Welson,Maryland,2,2.0,0.0
162,Macy Brown,Michigan,2,0.0,2.0
163,Christina Karamouzi Siegel,UCLA,1,1.0,0.0
164,Gisela Segura,Illinois,1,0.0,1.0
165,Taylor Feldman,Purdue,1,1.0,0.0
166,Megan Grant,UCLA,0,0.0,0.0
167,Brynn Senden,Minnesota,0,0.0,0.0
168,Alanna Neale,Nebraska,0,0.0,0.0
169,Nicole Fritea,Maryland,0,0.0,0.0
