name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,652,21,459,117,95,7,48,26,807,38.42857142857143
Shay Ciezki,Indiana,753,21,496,65,57,4,30,54,740,35.23809523809524
Jazzy Davidson,USC,678,20,320,127,79,49,36,34,730,36.5
Kiyomi McMiller,Penn State,666,21,394,105,92,4,34,21,688,32.76190476190476
Grace Sullivan,Northwestern,639,19,419,128,25,16,25,0,654,34.421052631578945
Lauren Betts,UCLA,525,19,306,157,58,43,23,0,653,34.36842105263158
Kiki Rice,UCLA,604,20,304,133,93,13,35,19,645,32.25
Berry Wallace,Illinois,694,20,395,138,35,9,12,28,638,31.9
Katie Fiso,Oregon,692,22,339,67,152,6,30,7,637,28.954545454545453
Oluchi Okananwa,Maryland,555,21,359,118,41,5,43,19,633,30.142857142857142
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Olivia Olson,Michigan,583,20,361,113,45,6,37,20,625,31.25
Britt Prince,Nebraska,633,20,358,72,85,7,32,28,621,31.05
Kennedy Blair,Michigan State,562,20,266,139,108,9,41,7,620,31.0
Sayvia Sellers,Washington,556,19,355,51,63,14,31,44,603,31.736842105263158
Mia Jacobs,Oregon,600,22,313,122,40,8,32,48,603,27.40909090909091
Ava Heiden,Iowa,491,20,327,154,32,22,22,0,601,30.05
Hannah Stuelke,Iowa,585,20,286,179,57,8,27,2,594,29.7
Grace VanSlooten,Michigan State,525,20,303,125,36,18,39,1,579,28.95
Kara Dunn,USC,638,20,307,102,40,6,33,44,571,28.55
Kennedy Cambridge,Ohio State,563,21,183,91,74,17,85,14,566,26.952380952380953
Kyrah Daniels,Wisconsin,627,21,276,99,48,6,30,43,538,25.61904761904762
Avery Howell,Washington,602,19,243,153,28,7,26,44,534,28.105263157894736
Gabriela Jaquez,UCLA,594,20,300,113,40,2,20,33,530,26.5
Cearah Parchment,Illinois,517,20,239,161,23,11,35,15,530,26.5
Rashunda Jones,Michigan State,571,20,259,70,75,2,53,14,528,26.4
Yarden Garzon,Maryland,641,21,270,84,64,6,19,59,527,25.095238095238095
Grace Grocholski,Minnesota,647,20,279,100,54,4,16,52,525,26.25
Gianna Kneepkens,UCLA,558,20,277,70,68,3,25,53,524,26.2
Caroline Lau,Northwestern,680,20,157,111,181,5,18,25,520,26.0
Mila Holloway,Michigan,553,20,250,80,92,5,31,25,519,25.95
Syla Swords,Michigan,600,19,261,80,49,6,33,46,514,27.05263157894737
Lenée Beaumont,Indiana,712,21,285,94,62,1,17,35,512,24.38095238095238
Saylor Poffenbarger,Maryland,532,19,199,109,62,16,35,32,504,26.526315789473685
Tara Daye,Purdue,535,20,249,134,46,4,28,11,504,25.2
Nene Ndiaye,Rutgers,603,19,275,104,31,5,31,20,502,26.42105263157895
Charlisse Leger-Walker,UCLA,545,20,184,85,119,6,35,31,501,25.05
Amaya Battle,Minnesota,597,20,189,138,76,6,29,7,480,24.0
Madison Layden-Zay,Purdue,678,20,199,77,63,12,38,41,480,24.0
Chance Gray,Ohio State,612,21,290,58,59,0,14,42,477,22.714285714285715
Ehis Etute,Oregon,421,21,199,169,27,14,27,0,477,22.714285714285715
Tayla Thomas,Northwestern,518,20,199,167,21,29,13,3,474,23.7
Mara Braun,Minnesota,632,20,214,89,47,15,31,27,469,23.45
Jessica Petrie,Nebraska,461,20,237,99,26,21,18,17,457,22.85
Destiny Howell,Wisconsin,550,20,277,66,20,6,16,46,453,22.65
Elsa Lemmilä,Ohio State,472,20,165,118,38,42,20,1,446,22.3
Imani Lester,Rutgers,464,19,210,112,24,25,20,6,442,23.263157894736842
Chazadi Wright,Iowa,523,17,222,42,66,1,27,40,426,25.058823529411764
Moriah Murray,Penn State,672,21,200,65,51,2,25,55,425,20.238095238095237
Kennedy Smith,USC,530,17,167,77,66,17,34,12,424,24.941176470588236
Isimenme Ozzy-Momodu,Maryland,400,21,180,143,17,23,18,0,422,20.095238095238095
Ronnie Porter,Wisconsin,612,21,133,94,96,4,34,17,416,19.80952380952381
Te'Yala Delfosse,Michigan,409,20,214,109,21,12,16,14,414,20.7
Gretchen Dolan,Illinois,522,17,232,61,50,7,21,15,414,24.352941176470587
Angela Dugalić,UCLA,465,20,185,111,35,11,21,18,413,20.65
Kylee Kitts,Ohio State,436,19,177,134,24,17,17,10,413,21.736842105263158
Gift Uchenna,Wisconsin,366,21,162,135,14,29,19,1,408,19.428571428571427
Brooke Q. Daniels,Michigan,494,20,126,112,60,6,48,0,406,20.3
Destiny Jackson,Illinois,592,20,164,79,96,2,28,6,405,20.25
Amiah Hargrove,Nebraska,422,19,232,106,13,3,14,14,399,21.0
Sofia Bell,Oregon,641,22,159,57,32,16,40,38,398,18.09090909090909
Ari Long,Oregon,524,22,144,81,37,12,44,21,395,17.954545454545453
Tea Cleante,Penn State,592,20,181,38,62,4,36,25,386,19.3
Callin Hake,Nebraska,546,20,162,48,79,3,29,30,383,19.15
Tori McKinney,Minnesota,419,16,200,57,37,7,29,14,380,23.75
Maddie Webber,Illinois,487,20,225,56,34,6,9,35,380,19.0
Kaylah Ivey,Rutgers,657,19,163,55,69,1,25,35,374,19.68421052631579
Londynn Jones,USC,490,20,227,32,36,4,19,33,374,18.7
Kiki Smith,Purdue,510,20,203,44,46,4,18,30,367,18.35
Sophie Hart,Minnesota,446,20,191,116,13,9,13,0,364,18.2
Jalyn Brown,Michigan State,457,20,200,57,34,8,20,16,363,18.15
